id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	color	size	custom_label_0	parent_sku	sales_count_10_days	sales_count_conversions_10_days	release_date	inventory_count	low_stock	sales_count_conversions_1_day	woh	wide_width	wide_calf
FT2355859-10957-83120	15030860	"Gabrielle Slip-On Flat"	" Material: Canvas Heel Height: 0.5"" Platform Height: 0.5"" Measurements will vary slightly Closure: Slip On Imported "	"$36.95 "	$9.24	https://us-cdn.justfab.com/media/images/products/FT2355859-10957/FT2355859-10957-2_589x860.jpg	//justfab.com/products/Gabrielle-Slip-On-Flat-FT2355859-10957	"out of stock"	"Fashion > Shoes > Flats > Slip On"	"Blue Ashes/ White"	12	3	FT2355859-10957	25	3	06/28/2023	415		1	14.8		
BS2356656-1733-83120	15036875	"Della Block Heel Bootie"	" Material: Faux Suede Heel Height: 2.75 Platform Height: 4.75"" Closure: Zipper Measurements will vary slightly Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/BS2356656-1733/BS2356656-1733-2_589x860.jpg	//justfab.com/products/Della-Block-Heel-Bootie-BS2356656-1733	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	Magnet	12	9	BS2356656-1733	67	9	07/28/2023	1840		1	43.8		
FB2356502-2150-81120	15037005	"Tillie Western Boot"	" Material: Faux Suede Heel Height: 2.0"" Shaft Height:14.75"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide width + Wide Calf size is available in D fit Closure: Functional Inside Zipper Imported "	"$54.95 "	$13.74	https://us-cdn.justfab.com/media/images/products/FB2356501-2150/FB2356501-2150-2_589x860.jpg	//justfab.com/products/Tillie-Western-Flat-Boot-FB2356501-2150	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	Sand	12	4	FB2356502-2150	26	4	07/27/2023	2413		1	"114.9 Wide Calf Available"		"Wide Calf Available"
FB2356502-8238-81120	15037255	"Tillie Western Boot"	" Material: Faux Leather Heel Height: 2.0"" Shaft Height:14.75"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide width + Wide Calf size is available in D fit Closure: Functional Inside Zipper Imported "	"$54.95 "	$13.74	https://us-cdn.justfab.com/media/images/products/FB2356501-8238/FB2356501-8238-2_589x860.jpg	//justfab.com/products/Tillie-Western-Flat-Boot-FB2356501-8238	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	"Black/ Birch White"	12	8	FB2356502-8238	21	8	07/27/2023	1784		1	"254.9 Wide Calf Available"		"Wide Calf Available"
PP2356674-2600-83120	15038090	"Greta Block Heel Mule"	" Material: Faux Suede Platform Height: 1.0"" Heel Height: 3.0"" Closure: Slip On Measurements will vary slightly Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/PP2356674-2600/PP2356674-2600-2_589x860.jpg	//justfab.com/products/Greta-Block-Heel-Mule-PP2356674-2600	"in stock"	"Fashion > Shoes > Pumps > Platform"	Camel	12	4	PP2356674-2600	24	4	08/15/2023	2192		1	104.4		
PP2356674-4742-83120	15038155	"Greta Block Heel Mule"	" Material: Faux Suede Platform Height: 1.0"" Heel Height: 3.0"" Closure: Slip On Measurements will vary slightly Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/PP2356674-4742/PP2356674-4742-2_589x860.jpg	//justfab.com/products/Greta-Block-Heel-Mule-PP2356674-4742	"in stock"	"Fashion > Shoes > Pumps > Platform"	"Dark Sapphire"	12	11	PP2356674-4742	49	11	08/15/2023	830		1	23.7		
FA2355862-2990-84120	15173250	"Halle Flat Slide Sandal"	" Pillow cushion padding Material: Faux Leather Heel Height: 0.25"" Measurements will vary slightly Closure: Slip On Imported "	"$24.95 "	$6.24	https://us-cdn.justfab.com/media/images/products/FA2355862-2990/FA2355862-2990-2_589x860.jpg	//justfab.com/products/Halle-Flat-Slide-Sandal-FA2355862-2990	"in stock"	"Fashion > Shoes > Sandals > Slide"	"Leather Brown"	12	5	FA2355862-2990	117	5	06/28/2023	17		1	1.2		
PP2355887-0001-84120	15173940	"Sydney Platform Pump"	" Material: Faux Leather Heel Height: 5.0"" Platform Height: 1.5"" Measurements will vary slightly Closure: Adjustable Buckle Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/PP2355887-0001/PP2355887-0001-2_589x860.jpg	//justfab.com/products/Sydney-Platform-Pump-PP2355887-0001	"in stock"	"Fashion > Shoes > Pumps > Ankle Strap"	Black	12	6	PP2355887-0001	21	6	08/15/2023	773		1	27.6		
HD2355884-1090-84120	15174565	"Sienna Block Heeled Platform Sandal"	" Material: Faux Leather/ Raffia Heel Height: 5.75"" Platform Height: 2.0"" Measurements will vary slightly Closure: Adjustable Strap Imported "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/HD2355884-1090/HD2355884-1090-2_589x860.jpg	//justfab.com/products/Sienna-Block-Heeled-Platform-Sandal-HD2355884-1090	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"	"Bright White"	12	7	HD2355884-1090	20	7	06/29/2023	567		1	40.5		
HD2355877-6397-84120	15174695	"Marisol Peep Toe Bootie"	" Material: Faux Leather Heel Height: 4.0"" Measurements will vary slightly Closure: Functional Back Zipper Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2355877-6397/HD2355877-6397-2_589x860.jpg	//justfab.com/products/Marisol-Heeled-Sandal-HD2355877-6397	"in stock"	"Fashion > Shoes > Boots > Booties"	"New Nude"	12	4	HD2355877-6397	52	4	06/29/2023	1814		1	86.4		
